"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCHH",7.69325079178547,3.04978151383673,0.980516910243909,3.11038135291117,0.00186845942508076,0.0218738160184419
"CTRC",2.73788713561807,3.56950437528662,1.24813457990809,2.85987138946947,0.00423812845955685,0.0375338549092
"HFM1",108.606455610726,2.38686927134285,0.512922767207663,4.65346719611785,3.2639955072728e-06,0.000282771968328615
"TRIM58",19.5333984763457,-1.92229055808519,0.488752317805125,-3.93305665887735,8.38724580134768e-05,0.00262695462303374
"ELF3",4.65402247637175,3.64981575894726,1.12103628055235,3.25575168463676,0.00113092612494017,0.0157199673020409
"KRTCAP2",25.1442983668189,2.2552024178249,0.497541409339363,4.53269290855482,5.82364499743545e-06,0.000405956390999491
"TSACC",8.11490163430586,-2.65022542653096,0.866582304744111,-3.0582501073727,0.00222633676838769,0.024591981768761
"TAS1R1",5.62409312438882,-2.29866163944936,0.597103653643561,-3.84968610629459,0.000118269292572081,0.0033924185054954
"CD34",328.518213675367,-1.6648933484626,0.469004532141944,-3.54984490418254,0.00038545816995768,0.0075882531713131
"CATSPERE",23.2026960240408,1.59026164411557,0.495119139795639,3.21187673086512,0.00131870945090408,0.0174718536296767
"MROH7",16.9494651348024,2.90308323752317,0.847866769981048,3.42398515935241,0.000617099908611821,0.0103098713271462
"CYP4Z1",7.80907560273592,2.36119044448122,0.718954955134855,3.28419802606177,0.00102273033303243,0.0145724013738011
"GJA4",106.720665955155,-1.64582700506463,0.565173051585088,-2.91207622240432,0.00359035011786228,0.0336915710329359
"HRNR",3.43699565753356,3.30363223462044,1.11117815394283,2.97308961924606,0.00294818356372798,0.0298646701534435
"ARMH1",65.8291678754026,1.5516328292604,0.498767450074378,3.11093442250294,0.00186496350587018,0.0218635539094078
"SH2D1B",10.0951092439703,1.56966891763704,0.566509800831359,2.77077098283831,0.0055923745014442,0.0454302189426324
"C1orf146",14.19583497179,4.89915419149631,0.92902193619404,5.27345372657922,1.33880021781789e-07,2.84448551772629e-05
"AMY2B",290.191533243658,2.40066768368635,0.391683214676831,6.1291053426098,8.83746007525632e-10,6.41445906505778e-07
"BGLAP",20.7885489972683,2.17040555294424,0.711479367261248,3.05055304878193,0.00228420324574525,0.0250377471992589
"LEFTY1",13.869735690677,2.25967919645648,0.752012903593163,3.0048409883123,0.0026571972567368,0.0278463597011702
"ZBED6",14.8929975855946,2.55502652429676,0.928627157109283,2.75140189982197,0.00593407903545359,0.0473761431936214
"NBPF11",132.131112757383,1.6693891364183,0.381244809258706,4.37878522113985,1.19342675426856e-05,0.000646852799862315
"NBPF10",34.4607604880289,1.84986674516854,0.640661948905608,2.88743033409198,0.00388402607249685,0.0354725818754726
"NBPF26",64.0115605785879,1.96826514082464,0.524320433495867,3.75393559946039,0.000174079606356292,0.00439131664828325
"CLK1",3617.19312095144,1.72142073823436,0.357356194171171,4.81710060245887,1.45659259084082e-06,0.000157898420204523
"PTPRN",2171.28351547547,-1.53502421531539,0.334730690994206,-4.58584843462103,4.52146529262056e-06,0.000347840283847961
"FAP",12.3105395266514,2.16571997152186,0.765361660398939,2.82966874822682,0.00465962201488089,0.0400933338357955
"RAPGEF4",2611.96897641604,2.12250476427281,0.310568825310826,6.83424925907663,8.24355834897472e-12,1.05859971598295e-08
"GALNT3",55.3394756025579,1.78900104643449,0.45993298874156,3.88969934800598,0.000100368491439177,0.00301901188483897
