"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPIE",738.056365010153,0.187953269382532,0.138501896093671,1.35704473861799,0.174766995613906,0.409022883047602
"ZMPSTE24",802.664321626683,-0.285546128674361,0.222654647729067,-1.28246201723946,0.199680620897163,0.440760053584192
"EIF3I",2101.49849768662,-0.245356215319137,0.150556091410458,-1.62966647858988,0.103172005780032,0.299374342398364
"NKAIN1",628.130222063545,-0.224315518720969,0.345392802356922,-0.64945047259313,0.51604724932336,0.73227842420868
"COL16A1",554.944838593909,0.933843475173827,0.345046008316311,2.70643175885621,0.006801055868646,0.0521072575984681
"TXLNA",1011.34465663959,0.245595053493587,0.208826432522816,1.176072638538,0.239565850593012,0.487546116255577
"WDR47",1676.71788881616,0.291943180467953,0.283364476445492,1.03027445122999,0.302881188824034,0.554354199316958
"OVGP1",139.30315427941,1.79499363588284,0.372224832754444,4.82233714123796,1.41885863616158e-06,0.000154813242301186
"SLC25A24",110.277582678186,-0.653817679435497,0.290168421270741,-2.25323512659379,0.0242443276970259,0.121178085800644
"IGSF9",7.69842886047068,-0.109279698264085,0.78639028106936,-0.13896369384866,0.889478838738871,0.9553988447425
"TTC39A",61.7570754545525,0.130994520496634,0.354494573917432,0.36952475477705,0.711736625138496,0.860631236598915
"ORC1",12.4857444431927,0.826237707349974,0.744949862106123,1.10911854525892,0.267379045550507,0.516862643170468
"RAD54L",24.8837849467184,0.515437887025318,0.529004918965079,0.974353675262032,0.329880962250012,0.580971915160007
"MAST2",944.067123133794,-0.376390033349301,0.195991196508551,-1.92044357121356,0.0548018943962174,0.203438475661653
"ERO1B",742.182166886327,0.0758433881123183,0.216590380229127,0.35016969835911,0.72621134608911,0.868125471651386
"ALG6",141.388160007635,0.440385500114348,0.223291974811355,1.97224060778003,0.0485821460476824,0.18804320568514
"ASAP3",554.371997677228,0.26215635536184,0.473341665936124,0.553841705110356,0.579687183540156,0.777393479526363
"SLC9A1",635.981682129538,-0.594150759672358,0.276583409579546,-2.14817931623437,0.0316995131814673,0.144519533420614
"RGS1",351.167612618329,1.93190231397069,0.882018359046623,2.19031984329543,0.028501048712518,0.134900365087134
"NUDC",3585.03955178246,-0.618743359222828,0.250606973805854,-2.46897901453521,0.0135499164470055,0.0821359132775275
"MUL1",576.937628908504,-1.08419908027647,0.207208553961352,-5.23240503130334,1.6731862220402e-07,3.40636229155355e-05
"PABPC4",1044.87352610269,-0.239890709240269,0.121220298957394,-1.97896483760187,0.0478199652987844,0.186215652133871
"USP48",894.950563754693,0.529502755289627,0.241225994454532,2.19504849171399,0.0281601194686169,0.133742541794905
"FH",880.749984639365,-0.192384820838832,0.24986689515654,-0.769949219236524,0.441330015890412,0.676295509938915
"TBX15",11.600526025097,-0.377139662452238,0.675200277288991,-0.55855969723013,0.576462252047136,0.774960608445393
"PHGDH",4095.52835015518,-0.650819820090915,0.422993895967428,-1.53860333753145,0.123901163262118,0.335339254168082
"TEKT2",30.9043021618017,0.0515475143689259,0.545980444616083,0.094412748436755,0.924781289253164,0.971915721050843
"CLSPN",17.9895698705703,0.564394220772296,0.764594885515382,0.738161124883619,0.460416543218963,0.690931967488645
"TGFB2",191.234720295014,0.391136160324636,0.520331874328316,0.751705170530912,0.452228380312827,0.685134819942131
"GPATCH2",195.555267700073,0.12057793193793,0.214917197491096,0.561043664004251,0.574767771388079,0.774117954033387
"FMO2",35.9833284443526,0.177496956402131,0.522364839004167,0.3397949922137,0.734010919407562,0.872948513827017
"SUCO",518.882719361021,0.378342967102889,0.175457914085379,2.15631747975065,0.0310588832831197,0.14266509432866
"ACOT7",2472.16868436021,-0.717017313621333,0.3562964779777,-2.01241762952877,0.0441759316379649,0.178902488292003
"CDC7",254.221567271747,0.87773886171538,0.350289553127438,2.50575232369562,0.0122191179042285,0.0765590950966279
"SYDE2",13.7463186791393,-0.373834545730304,0.613168333688963,-0.609676862275697,0.542075884576407,0.750988781503613
"PALMD",72.8629998571798,-1.10986561737973,0.442190821387791,-2.50992459295397,0.0120756945220247,0.0760723186228985
"DVL1",4125.89081041649,-0.164517886986796,0.181315716064826,-0.907355912423917,0.3642186156354,0.61367234249267
"BCL9",423.679164706841,0.147771167189135,0.268564779164145,0.55022541544369,0.582164773479264,0.778605808611586
"PRRX1",353.930611143777,0.628308211689612,0.428156597432481,1.46747291868764,0.142247450988086,0.363489812765208
"DHCR24",2590.73287387168,-0.720690123400339,0.361419216003068,-1.99405590928574,0.0461459448928477,0.182479094614146
"DNAJC16",472.788174002967,0.449625699672303,0.173267462322693,2.59498057884013,0.00945962640392852,0.0645621435761172
"MARK1",627.88555272757,0.552740629999662,0.260192563777706,2.12435214125448,0.0336407087317743,0.150516038540284
"TNR",1117.7269679308,1.17353514936512,0.368497837027535,3.18464596381724,0.00144931199424649,0.0187993896130155
"MORN1",308.332628410883,-0.00452670323603032,0.306300299144587,-0.0147786445154385,0.988208776929997,1
"GPX7",66.8701545653205,-0.0710428401256488,0.376214274166311,-0.188836110174393,0.85022126914245,0.93574680428211
"CACYBP",3108.39993124892,-0.118846085265503,0.359595111075647,-0.330499724843315,0.741022400499188,0.875511085244526
"SCP2",1335.84694660118,0.352425905994433,0.141766580003123,2.48595900378403,0.0129202848703365,0.0795321665285387
"PAPPA2",27.9594555253162,1.19904011101879,0.581364338264237,2.062458998773,0.039164057257421,0.165856106508216
"RALGPS2",308.070855220366,0.0206807543108969,0.351440078361623,0.0588457480641036,0.953074969883968,0.985422615337728
"ANGPTL1",21.3486104161946,-0.661101973328986,0.548953538482964,-1.20429494845036,0.228475598467651,0.475345418845834
"CEP104",483.203803858054,0.488956998225832,0.267058538994065,1.83089819957675,0.0671157391294221,0.231106354809017
"TCEANC2",135.001190264492,0.883110686003707,0.400264887331824,2.20631565234349,0.0273619061977634,0.131750695721218
"TMEM59",3146.92982825897,-0.416411394788921,0.208688220921074,-1.99537565153909,0.0460019244757214,0.182158848139259
"LRRC42",197.421460972286,-0.161786039270566,0.186069955005922,-0.869490398196835,0.38457895764896,0.6294892753203
"WRAP73",476.363847301603,-0.0834637996995478,0.186353017850585,-0.447880054008396,0.654239764161261,0.826887566591758
"MRPL37",908.742832859628,-1.1781042306305,0.183248853610632,-6.42898554298047,1.28458342672598e-10,1.34030223286022e-07
"ICMT",1105.52426023824,0.00643639508232429,0.211255916722612,0.0304672890689994,0.975694380805428,0.994544915450677
"RPL22",2654.93446210284,-0.186255879295769,0.283131301713477,-0.657842768244171,0.510639169412999,0.728156670915304
"CHD5",2157.65593339495,0.199635671122344,0.320049169163518,0.623765628400514,0.532781515637511,0.744413677774741
"STXBP3",985.074235573753,0.772729694968599,0.198978133068919,3.88349052757949,0.000102967545115837,0.003065404101812
"PHF13",402.651658119534,-0.321503223804433,0.177995566568524,-1.80624287448565,0.0708804105622746,0.239336078868651
"ELAPOR1",173.810203811444,0.614317626315584,0.315268741503828,1.94855228395082,0.0513489151988181,0.194866740243025
"OPRD1",44.8600270085673,-0.408334196116749,0.435674884815691,-0.937245203586826,0.348632442426391,0.59871103732807
